Name, Default Value, Allowed Values, Modifiable, Source, Apply Type, Data Type, Description
"allow-suspicious-udfs",,"0,1",false,"engine-default","static","boolean","Controls whether user-defined functions that have only an xxx symbol for the main function can be loaded"
"auto_generate_certs",,"0,1",false,"engine-default","static","boolean","Controls whether the server autogenerates SSL key and certificate files in the data directory, if they do not already exist."
"auto_increment_increment",,"1-65535",true,"engine-default","dynamic","integer","Intended for use with master-to-master replication, and can be used to control the operation of AUTO_INCREMENT columns"
"auto_increment_offset",,"1-65535",true,"engine-default","dynamic","integer","Determines the starting point for the AUTO_INCREMENT column value"
"autocommit",,"0,1",true,"engine-default","dynamic","boolean","Sets the autocommit mode"
"automatic_sp_privileges",,"0,1",true,"engine-default","dynamic","boolean","When this variable has a value of 1 (the default), the server automatically grants the EXECUTE and ALTER ROUTINE privileges to the creator of a stored routine, if the user cannot already execute and alter or drop the routine."
"avoid_temporal_upgrade",,"0,1",true,"engine-default","dynamic","boolean","This variable controls whether ALTER TABLE implicitly upgrades temporal columns found to be in pre-5.6.4 format."
"back_log",,"1-65535",true,"engine-default","static","integer","The number of outstanding connection requests MySQL can have"
"basedir","/rdsdbbin/mysql",,false,"system","static","string","The MySQL installation base directory."
"binlog_cache_size","32768","4096-18446744073709547520",true,"system","dynamic","integer","The size of the cache to hold the SQL statements for the binary log during a transaction."
"binlog_checksum",,"NONE,CRC32",true,"engine-default","dynamic","string","When enabled, this variable causes the master to write a checksum for each event in the binary log."
"binlog_error_action",,"IGNORE_ERROR,ABORT_SERVER",true,"engine-default","dynamic","string","Controls what happens when the server cannot write to the binary log."
"binlog_format","MIXED","ROW,MIXED",true,"system","dynamic","string","Row or Mixed replication"
"binlog_group_commit_sync_delay",,"0-1000000",true,"engine-default","dynamic","boolean","Controls how many microseconds the binary log commit waits before synchronizing the binary log file to disk."
"binlog_group_commit_sync_no_delay_count",,"0-1000000",true,"engine-default","dynamic","integer","The maximum number of transactions to wait for before aborting the current delay as specified by binlog-group-commit-sync-delay."
"binlog_gtid_simple_recovery",,"0,1",false,"engine-default","static","boolean","This variable controls how binary log files are iterated during the search for GTIDs when MySQL starts or restarts."
"binlog_max_flush_queue_time",,"0-100000",true,"engine-default","dynamic","integer","How long in microseconds to keep reading transactions from the flush queue before proceeding with the group commit (and syncing the log to disk, if sync_binlog is greater than 0). If the value is 0 (the default), there is no timeout and the server keeps reading new transactions until the queue is empty."
"binlog_order_commits",,"0,1",true,"engine-default","dynamic","boolean","If this variable is enabled (the default), transactions are committed in the same order they are written to the binary log. If disabled, transactions may be committed in parallel."
"binlog_row_image",,"full,minimal,noblob",false,"engine-default","dynamic","string","Whether the server logs full or minmal rows with row-based replication."
"binlog_rows_query_log_events",,"0,1",false,"engine-default","dynamic","boolean","When enabled, it causes a MySQL 5.6.2 or later server to write informational log events such as row query log events into its binary log."
"binlog_stmt_cache_size",,"4096-18446744073709547520",true,"engine-default","dynamic","integer","This variable determines the size of the cache for the binary log to hold nontransactional statements issued during a transaction."
"block_encryption_mode",,"aes-128-ecb,aes-192-ecb,aes-256-ecb,aes-128-cbc,aes-192-cbc,aes-256-cbc",true,"engine-default","dynamic","string","This variable controls the block encryption mode for block-based algorithms such as AES. It affects encryption for AES_ENCRYPT() and AES_DECRYPT()."
"bulk_insert_buffer_size",,"0-18446744073709547520",true,"engine-default","dynamic","integer","Limits the size of the MyISAM cache tree in bytes per thread."
"character-set-client-handshake",,"0,1",true,"engine-default","static","boolean","Don't ignore character set information sent by the client."
