Name, Default Value, Allowed Values, Modifiable, Source, Apply Type, Data Type, Description
"application_name",,,true,"engine-default","dynamic","string","Sets the application name to be reported in statistics and logs."
"archive_command","/etc/rds/dbbin/pgscripts/rds_wal_archive %p",,false,"system","dynamic","string","Sets the shell command that will be called to archive a WAL file."
"archive_timeout","300","0-2147483647",false,"system","dynamic","integer","(s) Forces a switch to the next xlog file if a new file has not been started within N seconds."
"array_nulls",,"0,1",true,"engine-default","dynamic","boolean","Enable input of NULL elements in arrays."
"authentication_timeout",,"1-600",true,"engine-default","dynamic","integer","(s) Sets the maximum allowed time to complete client authentication."
"autovacuum",,"0,1",true,"engine-default","dynamic","boolean","Starts the autovacuum subprocess."
"autovacuum_analyze_scale_factor","0.05","0-100",true,"system","dynamic","float","Number of tuple inserts, updates or deletes prior to analyze as a fraction of reltuples."
"autovacuum_analyze_threshold",,"0-2147483647",true,"engine-default","dynamic","integer","Minimum number of tuple inserts, updates or deletes prior to analyze."
"autovacuum_freeze_max_age",,"100000000-2000000000",true,"engine-default","static","integer","Age at which to autovacuum a table to prevent transaction ID wraparound."
"autovacuum_max_workers",,"1-8388607",true,"engine-default","static","integer","Sets the maximum number of simultaneously running autovacuum worker processes."
"autovacuum_multixact_freeze_max_age",,"10000000-2000000000",true,"engine-default","static","integer","Multixact age at which to autovacuum a table to prevent multixact wraparound."
"autovacuum_naptime","30","1-2147483",true,"system","dynamic","integer","(s) Time to sleep between autovacuum runs."
"autovacuum_vacuum_cost_delay",,"-1-100",true,"engine-default","dynamic","integer","(ms) Vacuum cost delay in milliseconds, for autovacuum."
"autovacuum_vacuum_cost_limit",,"-1-10000",true,"engine-default","dynamic","integer","Vacuum cost amount available before napping, for autovacuum."
"autovacuum_vacuum_scale_factor","0.1","0-100",true,"system","dynamic","float","Number of tuple updates or deletes prior to vacuum as a fraction of reltuples."
"autovacuum_vacuum_threshold",,"0-2147483647",true,"engine-default","dynamic","integer","Minimum number of tuple updates or deletes prior to vacuum."
"autovacuum_work_mem",,"-1-2147483647",true,"engine-default","dynamic","string","Sets the maximum memory to be used by each autovacuum worker process."
"backslash_quote",,"safe_encoding,on,off",true,"engine-default","dynamic","string","Sets whether \ is allowed in string literals."
"bgwriter_delay",,"10-10000",true,"engine-default","dynamic","integer","(ms) Background writer sleep time between rounds."
"bgwriter_lru_maxpages",,"0-1000",true,"engine-default","dynamic","integer","Background writer maximum number of LRU pages to flush per round."
"bgwriter_lru_multiplier",,"0-10",true,"engine-default","dynamic","float","Multiple of the average buffer usage to free per round."
"bytea_output",,"escape,hex",true,"engine-default","dynamic","string","Sets the output format for bytea."
"check_function_bodies",,"0,1",true,"engine-default","dynamic","boolean","Check function bodies during CREATE FUNCTION."
"checkpoint_completion_target","0.9","0-1",true,"system","dynamic","float","Time spent flushing dirty buffers during checkpoint, as fraction of checkpoint interval."
"checkpoint_segments","16","1-2147483647",true,"system","dynamic","integer","Sets the maximum distance in log segments between automatic WAL checkpoints."
"checkpoint_timeout",,"30-3600",true,"engine-default","dynamic","integer","(s) Sets the maximum time between automatic WAL checkpoints."
"checkpoint_warning",,"0-2147483647",true,"engine-default","dynamic","integer","(s) Enables warnings if checkpoint segments are filled more frequently than this."
"client_encoding","UTF8",,true,"system","dynamic","string","Sets the clients character set encoding."
"client_min_messages",,"debug5,debug4,debug3,debug2,debug1,log,notice,warning,error",true,"engine-default","dynamic","string","Sets the message levels that are sent to the client."
"commit_delay",,"0-100000",true,"engine-default","dynamic","integer","Sets the delay in microseconds between transaction commit and flushing WAL to disk."
"commit_siblings",,"0-1000",true,"engine-default","dynamic","integer","Sets the minimum concurrent open transactions before performing commit_delay."
"config_file","/rdsdbdata/config/postgresql.conf",,false,"system","static","string","Sets the servers main configuration file."
"constraint_exclusion",,"partition,on,off",true,"engine-default","dynamic","string","Enables the planner to use constraints to optimize queries."
"cpu_index_tuple_cost",,"0-1.79769e+308",true,"engine-default","dynamic","float","Sets the planners estimate of the cost of processing each index entry during an index scan."
"cpu_operator_cost",,"0-1.79769e+308",true,"engine-default","dynamic","float","Sets the planners estimate of the cost of processing each operator or function call."
"cpu_tuple_cost",,"0-1.79769e+308",true,"engine-default","dynamic","float","Sets the planners estimate of the cost of processing each tuple (row)."
"cursor_tuple_fraction",,"0-1",true,"engine-default","dynamic","float","Sets the planners estimate of the fraction of a cursors rows that will be retrieved."
"data_directory","/rdsdbdata/db",,false,"system","static","string","Sets the servers data directory."
"datestyle",,,true,"engine-default","dynamic","string","Sets the display format for date and time values."
"db_user_namespace",,"0,1",false,"engine-default","dynamic","boolean","Enables per-database user names."
