Name, Default Value, Allowed Values, Modifiable, Source, Apply Type, Data Type, Description
"1204","0","0,1",true,"engine-default","dynamic","boolean","Returns the resources and types of locks participating in a deadlock and also the current command affected."
"1211","0","0,1",true,"engine-default","dynamic","boolean","Disables lock escalation based on memory pressure, or based on number of locks. The SQL Server Database Engine will not escalate row or page locks to table locks."
"1222","0","0,1",true,"engine-default","dynamic","boolean","Returns the resources and types of locks that are participating in a deadlock and also the current command affected, in an XML format that does not comply with any XSD schema."
"1224","0","0,1",true,"engine-default","dynamic","boolean","Disables lock escalation based on the number of locks. However, memory pressure can still activate lock escalation."
"2528","0","0,1",true,"engine-default","dynamic","boolean","Disables parallel checking of objects by DBCC CHECKDB, DBCC CHECKFILEGROUP, and DBCC CHECKTABLE."
"3205","0","0,1",false,"engine-default","dynamic","boolean","Disable hardware compression for tape drivers."
"3226","1","0,1",false,"system","dynamic","boolean","Suppress log entries for backup operations."
"3625","0","0,1",false,"engine-default","dynamic","boolean","Limits the amount of information returned in error messages."
"4199","0","0,1",true,"engine-default","dynamic","boolean","Controls multiple query optimizer changes previously made under multiple trace flags."
"4616","0","0,1",true,"engine-default","dynamic","boolean","Makes server-level metadata visible to application roles."
"6527","0","0,1",true,"engine-default","dynamic","boolean","Disables generation of a memory dump on the first occurrence of an out-of-memory exception in CLR integration."
"7806","1","0,1",false,"system","dynamic","boolean","Enables a dedicated administrator connection (DAC) on SQL Server Express."
"access check cache bucket count","0","0-16384",false,"engine-default","dynamic","integer","Number of has buckets used by the internal access check result cache"
"access check cache quota","0","0-2147483647",false,"engine-default","dynamic","integer","Number of entries used by the internal access check result cache"
"ad hoc distributed queries","0","0,1",true,"engine-default","dynamic","boolean","Enable ad hoc distributed queries using OPENROWSET and OPENDATASOURCE"
"affinity i/o mask","0","-2147483648-2147483647",false,"engine-default","static","integer","Bind disk I/O to specified subset of CPUs"
"affinity mask","0","-2147483648-2147483647",false,"engine-default","dynamic","integer","Dynamically control CPU affinity"
"agent xps","1","0,1",false,"system","dynamic","boolean","Enable the SQL Server Agent extended stored procedures on this serve"
"allow updates","0","0,1",false,"engine-default","dynamic","boolean","Setting has no effect"
"awe enabled","0","0,1",false,"engine-default","static","boolean","Enable Address WIndowing Extensions (AWE) to provide access to physical memory in excess of the limits set on configured virtual memory"
"c2 audit mode","0","0,1",true,"engine-default","static","boolean","Enable C2 auditing"
"clr enabled","0","0,1",true,"engine-default","dynamic","boolean","Whether assemblies can be run by SQL Server"
"cost threshold for parallelism","5","0-32767",true,"engine-default","dynamic","integer","Threshold at which Microsoft SQL Server creates and runs parallel plans for queries"
"cross db ownership chaining","0","0,1",true,"engine-default","dynamic","boolean","Configure cross-database ownership chaining for an instance of Microsoft SQL Server"
"cursor threshold","-1","-1-2147483647",true,"engine-default","dynamic","integer","Number of rows in the cursor set at which cursor keysets are generated asynchronously"
"database mail xps","0","0,1",false,"engine-default","dynamic","boolean","Enable Database Mail on the server"
"default full-text language","1033","0-2147483647",true,"engine-default","dynamic","integer","Default language value for full-text indexed columns"
"default language","0","0-32",true,"engine-default","dynamic","integer","Default lanaguage for all newly created logins"
"default trace enabled","1","0,1",true,"engine-default","dynamic","boolean","Enable or disable the default trace log files"
"disallow results from triggers","0","0,1",true,"engine-default","dynamic","boolean","Whether triggers can return result sets"
"filestream access level","0","0-2",false,"engine-default","dynamic","integer","Change the FILESTREAM access level for this instance of SQL Server"
